Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,3000000,2000000,2000000,3000000,3000000,3000000,4000000,3000000,5000000,18000000,15000000,15000000,19000000,85666664.12,152333328.2,219000000,319000000,619000000,789572998,990000000,1222574707,1597068970,1997994263,3122761656,3025123119,4372401713,6348635338,4444438302,1754275719,3565879176,
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32378E+11,2.31843E+11,3.53183E+11,4.20569E+11,2.43257E+11,2.3781E+11,2.01714E+11,
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.865494342,8.545788359,10.10810024,9.300853158,4.873654008,4.009935214,2.756223439,
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59402E+11,2.39491E+11,3.69572E+11,4.42464E+11,2.05813E+11,1.89505E+11,1.72192E+11,
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16113803103,-5143384936,8044362157,28580030495,-8532580532,-25899339086,-11867756536,
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24627E+11,2.08919E+11,3.08036E+11,3.48833E+11,2.2013E+11,2.23024E+11,1.88321E+11,
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1966E+11,1.96104E+11,2.90813E+11,3.4186E+11,2.35179E+11,2.45539E+11,2.42469E+11,
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22921355460,3628055728,13289990161,18844373414,-41382828156,-52935988449,-34968771307,
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90379127564,-1.0015E+11,-1.39095E+11,-1.14792E+11,-87167067370,-1.8575E+11,-1.70449E+11,
"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4709837172,68416515086,-16442973700,-34852395244,-27087363798,-24038442273,-19639146481,
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50975E+11,2.84651E+11,4.60651E+11,4.79553E+11,4.00508E+11,4.71659E+11,3.87799E+11,
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23865499352,28067501500,37102286297,43155952495,31658747085,40685856981,25261174588,
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101792454,4020114666,3099074940,3051447677,3939300398,4630451540,5446287975,
